"Protein","Gene","Description","GeneSymbol","Ctrl.Rep1","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q71UM5","RS27L_HUMAN","40S ribosomal protein S27-like (Small ribosomal subunit protein eS27-like)","RPS27L",7.07,8,8.45,8.3,8.36,8.46,8,8.26,6.69,6.81,6.51,2,0.32,7.72033602485685,1.25,0.23,0.74,-4.54,1.59994058474617
"Q15291","RBBP5_HUMAN","Retinoblastoma-binding protein 5 (RBBP-5) (Retinoblastoma-binding protein RBQ-3)","RBBP5",6.89,7.64,7.93,7.98,7.84,7.89,7.74,8.18,5.64,6.33,6.2,1,0.3,7.29584842522066,1.25,0.24,0.74,-4.55,1.854459155294
"P46778","RL21_HUMAN","60S ribosomal protein L21 (Large ribosomal subunit protein eL21)","RPL21",10.02,10.42,10.33,10.43,10.64,10.38,10.45,10.43,8.58,8.05,8.51,9,0.17,9.83869340522042,1.25,0.24,0.74,-4.55,2.09195833247381
"Q8IU81","I2BP1_HUMAN","Interferon regulatory factor 2-binding protein 1 (IRF-2-binding protein 1) (IRF-2BP1) (Probable E3 ubiquitin-protein ligase IRF2BP1) (EC 2.3.2.27) (Probable RING-type E3 ubiquitin transferase IRF2BP1)","IRF2BP1",8,9.18,9.61,9.61,9.23,9.69,9.34,9.65,6.9,7.08,6.85,6,0.38,8.64889005250216,1.25,0.24,0.74,-4.55,2.53585435278902
"Q92793","CBP_HUMAN","CREB-binding protein (EC 2.3.1.48)","CREBBP",6.03,7.22,7.54,7.68,7.4,7.59,7.19,7.8,5.24,5.25,5.23,3,0.38,6.74270069535551,1.25,0.24,0.74,-4.55,2.25433266535644
"P54132","BLM_HUMAN","Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)","BLM",4.87,5.07,5.27,5.39,5.35,5.48,5.3,5.19,3.77,3.99,3.85,1,0.18,4.86570706050333,1.25,0.24,0.74,-4.55,1.46267332422248
"P51570","GALK1_HUMAN","Galactokinase (EC 2.7.1.6) (Galactose kinase)","GALK1",6.44,7.23,7.54,7.45,7.3,7.4,7.5,7.54,5.83,6.2,5.82,2,0.27,6.93208501339859,1.24,0.24,0.74,-4.55,1.48418751894724
"P25398","RS12_HUMAN","40S ribosomal protein S12 (Small ribosomal subunit protein eS12)","RPS12",7.69,8.84,8.36,8.72,8.7,8.55,8.74,8.73,7.3,6.81,7.23,2,0.27,8.15200686602382,1.24,0.24,0.74,-4.55,1.56527126523599
"P37198","NUP62_HUMAN","Nuclear pore glycoprotein p62 (62 kDa nucleoporin) (Nucleoporin Nup62)","NUP62",6.98,6.23,5.77,5.69,5.71,6.07,5.7,5.96,4.84,4.74,4.92,1,-0.3,5.69027956928427,-1.24,0.24,0.74,-4.55,1.33236986367824
"Q9P2E9","RRBP1_HUMAN","Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)","RRBP1",12.82,11.7,11.41,11.27,11.4,11.38,11.72,11.33,10.51,10.3,10.53,47,-0.34,11.3072444538317,-1.24,0.24,0.74,-4.55,1.35255463316548
"P23396","RS3_HUMAN","40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3)","RPS3",10.78,11.19,11.09,11.11,11.23,11.12,11.27,11.13,9.65,9.26,9.49,14,0.15,10.6648483381638,1.24,0.24,0.74,-4.55,1.72373987675727
"Q8TF01","PNISR_HUMAN","Arginine/serine-rich protein PNISR (PNN-interacting serine/arginine-rich protein) (SR-related protein) (SR-rich protein) (Serine/arginine-rich-splicing regulatory protein 130) (SRrp130) (Splicing factor, arginine/serine-rich 130) (Splicing factor, arginine/serine-rich 18)","PNISR",5.11,6.07,5.8,6.16,6.16,6.17,5.76,6.14,5.67,6.07,5.66,1,0.27,5.8868055560312,1.24,0.24,0.74,-4.55,0.255710982135509
"Q86UE8","TLK2_HUMAN","Serine/threonine-protein kinase tousled-like 2 (EC 2.7.11.1) (HsHPK) (PKU-alpha) (Tousled-like kinase 2)","TLK2",7.48,8.44,8.82,9.03,8.75,9.02,8.52,8.85,6.59,6.86,6.79,2,0.34,8.10442685707396,1.24,0.24,0.74,-4.55,2.0385933886945
"Q13283","G3BP1_HUMAN","Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1)","G3BP1",9.43,9.15,8.82,8.82,8.93,8.86,8.94,8.81,7.73,7.68,7.78,7,-0.17,8.63214665186758,-1.24,0.24,0.74,-4.55,1.32238292581818
"Q00839","HNRPU_HUMAN","Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (GRIP120) (Nuclear p120 ribonucleoprotein) (Scaffold-attachment factor A) (SAF-A) (p120) (pp120)","HNRNPU",13.1,12.75,12.55,12.61,12.7,12.52,12.64,12.51,11.13,10.85,11.02,30,-0.16,12.215923922111,-1.24,0.24,0.74,-4.55,1.75647574723685
"Q92785","REQU_HUMAN","Zinc finger protein ubi-d4 (Apoptosis response zinc finger protein) (BRG1-associated factor 45D) (BAF45D) (D4, zinc and double PHD fingers family 2) (Protein requiem)","DPF2",7.83,9.49,10.19,10.08,9.74,10.1,9.91,10.06,6.38,7.02,7.64,6,0.56,8.95061068586524,1.24,0.24,0.74,-4.55,2.94033910584035
"Q9H6S3","ES8L2_HUMAN","Epidermal growth factor receptor kinase substrate 8-like protein 2 (EPS8-like protein 2) (Epidermal growth factor receptor pathway substrate 8-related protein 2) (EPS8-related protein 2)","EPS8L2",8.22,7.42,7.44,7.24,7.49,7.27,7.37,7.22,5.98,6.19,6.34,5,-0.24,7.10788344828672,-1.24,0.24,0.74,-4.55,1.40812238792402
"Q13409","DC1I2_HUMAN","Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)","DYNC1I2",7.62,7.86,7.89,7.94,7.9,7.99,8.02,7.91,6.63,6.79,6.75,4,0.13,7.57435084566787,1.24,0.24,0.74,-4.55,1.23454130950785
"Q6ZW49","PAXI1_HUMAN","PAX-interacting protein 1 (PAX transactivation activation domain-interacting protein)","PAXIP1",2.43,2.31,2.67,2.61,2.76,2.77,3.06,2.66,1.38,1.42,2.41,1,0.3,2.4070277184034,1.24,0.24,0.74,-4.55,1.07069312764122
"P50552","VASP_HUMAN","Vasodilator-stimulated phosphoprotein (VASP)","VASP",8.81,9.16,9.1,9.12,9.22,9.14,9.1,9.23,7.82,7.83,7.87,6,0.13,8.76320675715473,1.24,0.24,0.74,-4.55,1.33259282794483
"Q92900","RENT1_HUMAN","Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)","UPF1",10.68,10.96,11.15,10.85,11.15,10.97,11.14,10.93,9.35,9.26,9.23,18,0.14,10.5168896690204,1.24,0.24,0.74,-4.55,1.76529802145227
"P46777","RL5_HUMAN","60S ribosomal protein L5 (Large ribosomal subunit protein uL18)","RPL5",10.94,11.62,11.76,11.59,11.68,11.61,11.68,11.68,9.95,9.88,9.91,10,0.19,11.1183552959766,1.23,0.24,0.74,-4.55,1.7522044440864
"Q9UKN8","TF3C4_HUMAN","General transcription factor 3C polypeptide 4 (EC 2.3.1.48) (TF3C-delta) (Transcription factor IIIC 90 kDa subunit) (TFIIIC 90 kDa subunit) (TFIIIC90) (Transcription factor IIIC subunit delta)","GTF3C4",7.57,8.31,8.53,8.76,8.51,8.66,8.36,8.72,6.73,6.99,6.72,3,0.27,7.98685577995831,1.23,0.24,0.74,-4.55,1.74575730957174
"Q13427","PPIG_HUMAN","Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)","PPIG",5.58,4.96,4.32,4.77,5.33,5.19,5.22,5.1,3.4,4.11,3.81,1,0.3,4.70759948395538,1.23,0.24,0.74,-4.55,1.43579293931476
"Q92598","HS105_HUMAN","Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)","HSPH1",7.42,6.88,7.15,6.9,7.06,6.83,6.87,6.93,5.37,5.28,5.4,2,-0.17,6.55474712688367,-1.23,0.24,0.74,-4.55,1.7376527335481
"O43150","ASAP2_HUMAN","Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)","ASAP2",5.35,5.21,5.21,5.4,5.1,5.3,5.09,5.09,3.37,3.54,3.49,1,-0.15,4.74131019544136,-1.23,0.24,0.74,-4.55,1.8246987866699
"P43487","RANG_HUMAN","Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1)","RANBP1",7.91,7.83,8.06,7.65,7.33,7.66,8.05,7.65,6.47,6.33,6.55,2,-0.19,7.40869267039571,-1.23,0.24,0.74,-4.55,1.41010292239229
"Q9UPN9","TRI33_HUMAN","E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)","TRIM33",8.56,9.83,10.33,10.28,10.12,10.11,10.06,10.27,7.1,7.35,7.08,8,0.39,9.19005791185718,1.23,0.24,0.74,-4.55,2.96157120939517
"Q15286","RAB35_HUMAN","Ras-related protein Rab-35 (GTP-binding protein RAY) (Ras-related protein Rab-1C)","RAB35",6.51,6.77,6.63,6.9,6.98,6.75,6.79,6.88,5.2,5.13,5.29,1,0.15,6.34714601613553,1.23,0.24,0.74,-4.55,1.64392903243557
"P04844","RPN2_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2)","RPN2",8.55,9.58,9.7,9.54,9.6,9.63,9.59,9.61,7.99,7.71,7.7,6,0.26,9.01863440216838,1.23,0.24,0.74,-4.55,1.81096278746917
"O75683","SURF6_HUMAN","Surfeit locus protein 6","SURF6",8.33,7.19,7.01,7.3,7.24,7.09,7.14,7.16,6.07,6.27,5.84,2,-0.3,6.96733988824734,-1.23,0.24,0.74,-4.55,1.39472164989264
"Q03252","LMNB2_HUMAN","Lamin-B2","LMNB2",11.4,10.79,10.59,10.75,10.66,10.76,10.6,10.75,9.67,9.87,9.73,21,-0.19,10.5051216301942,-1.23,0.24,0.74,-4.55,1.12877639532586
"Q96RU3","FNBP1_HUMAN","Formin-binding protein 1 (Formin-binding protein 17) (hFBP17)","FNBP1",6.32,6.14,6.05,6.01,6.3,6.22,6.26,6.35,4.87,5.31,5.06,1,0.15,5.89895490053294,1.22,0.25,0.74,-4.55,1.20097598274119
"O43670","ZN207_HUMAN","BUB3-interacting and GLEBS motif-containing protein ZNF207 (BuGZ) (hBuGZ) (Zinc finger protein 207)","ZNF207",5.25,4.99,5,5.06,4.84,5.05,4.84,4.9,3.41,3.81,3.53,1,-0.17,4.60637223165362,-1.22,0.25,0.74,-4.55,1.48949040173416
"O95486","SC24A_HUMAN","Protein transport protein Sec24A (SEC24-related protein A)","SEC24A",6.05,5.66,5.12,5.6,5.55,5.58,4.98,5.32,4.13,3.92,4.09,1,-0.25,5.09170150719099,-1.22,0.25,0.74,-4.55,1.55806080244659
"Q14686","NCOA6_HUMAN","Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)","NCOA6",6.21,7.4,7.31,7.69,7.83,7.66,6.86,7.73,4.63,4.68,4.45,1,0.37,6.58645533788774,1.22,0.25,0.74,-4.55,2.9340740041129
"Q00610","CLH1_HUMAN","Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)","CLTC",12.4,12.09,12,11.99,12.11,11.9,12,11.93,10.74,10.82,10.81,44,-0.13,11.7080885643751,-1.22,0.25,0.74,-4.56,1.32731654024055
"P17029","ZKSC1_HUMAN","Zinc finger protein with KRAB and SCAN domains 1 (Zinc finger protein 139) (Zinc finger protein 36) (Zinc finger protein KOX18)","ZKSCAN1",5.62,6.6,6.88,7.04,6.73,6.91,7.03,7.08,5.28,6.37,6.59,1,0.4,6.55659198322868,1.22,0.25,0.74,-4.56,0.85717714327502
"Q9BSJ8","ESYT1_HUMAN","Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)","ESYT1",8.66,9.18,9.28,9.26,9.29,9.15,9.26,9.35,7.88,7.91,7.84,7,0.17,8.82388149902618,1.22,0.25,0.74,-4.56,1.39003141151498
"O15294","OGT1_HUMAN","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)","OGT",6.12,6.83,6.91,7.11,7.07,7.1,6.72,7.13,5.35,5.83,5.88,2,0.26,6.55121911754513,1.22,0.25,0.74,-4.56,1.31515120016695
"Q9Y2X3","NOP58_HUMAN","Nucleolar protein 58 (Nucleolar protein 5)","NOP58",10.27,9.34,9.11,9.49,9.35,9.24,9.19,9.37,8.18,8.42,7.87,12,-0.27,9.07510311933877,-1.22,0.25,0.74,-4.56,1.39549946809039
"Q96G21","IMP4_HUMAN","U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4)","IMP4",5.19,4.51,4.46,5,4.28,4.32,4.14,4.5,3.38,4.96,2.65,1,-0.48,4.3096313240853,-1.22,0.25,0.74,-4.56,1.12538185516785
"Q9BY77","PDIP3_HUMAN","Polymerase delta-interacting protein 3 (46 kDa DNA polymerase delta interaction protein) (p46) (S6K1 Aly/REF-like target) (SKAR)","POLDIP3",5.91,5.51,5.65,5.73,5.66,5.4,5.56,5.54,3.85,3.78,4.02,1,-0.16,5.1471885410054,-1.22,0.25,0.74,-4.56,1.81499643085072
"P24468","COT2_HUMAN","COUP transcription factor 2 (COUP-TF2) (Apolipoprotein A-I regulatory protein 1) (ARP-1) (COUP transcription factor II) (COUP-TF II) (Nuclear receptor subfamily 2 group F member 2)","NR2F2",7.2,9.12,9.01,9.81,9.34,9.7,8.69,9.66,5.72,6.38,5.7,3,0.56,8.21107082744867,1.22,0.25,0.74,-4.56,3.41544117997007
"Q9NQ55","SSF1_HUMAN","Suppressor of SWI4 1 homolog (Ssf-1) (Brix domain-containing protein 3) (Peter Pan homolog)","PPAN",9.06,7.81,7.52,8.01,7.77,7.71,7.78,7.88,6.53,6.58,6.43,2,-0.32,7.55220496385046,-1.22,0.25,0.74,-4.56,1.58732196690335
"Q14203","DCTN1_HUMAN","Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)","DCTN1",6.57,6.27,6.34,6.36,6.4,5.91,6.38,6.16,4.9,4.62,4.8,2,-0.17,5.88292693069791,-1.21,0.25,0.74,-4.56,1.61041866336242
"Q9H2P0","ADNP_HUMAN","Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)","ADNP",9.11,9.91,10.37,10.29,10.13,10.26,10.15,10.26,8.08,8.45,8.15,12,0.28,9.56094177270001,1.21,0.25,0.74,-4.56,1.97247240249406
"P26583","HMGB2_HUMAN","High mobility group protein B2 (High mobility group protein 2) (HMG-2)","HMGB2",10.28,9.89,10.3,10.08,9.57,10.01,10.17,10.09,8.03,7.76,7.9,11,-0.18,9.46261356521675,-1.21,0.25,0.74,-4.56,2.2432103553296
"Q5SSJ5","HP1B3_HUMAN","Heterochromatin protein 1-binding protein 3 (Protein HP1-BP74)","HP1BP3",11.19,10.01,9.91,10.11,9.99,9.98,10.07,10.06,9.06,9.37,9.17,9,-0.28,9.90107156527188,-1.21,0.25,0.74,-4.56,1.11004019788941
"P63279","UBC9_HUMAN","SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18)","UBE2I",7.71,8.08,7.87,8.41,8.29,8.45,7.74,8.51,5.75,5.56,5.76,2,0.23,7.46593629549294,1.21,0.25,0.74,-4.56,2.55658074304857
"Q6PJG2","EMSA1_HUMAN","ELM2 and SANT domain-containing protein 1 (MIDEAS)","ELMSAN1",6.53,7.31,7.32,7.43,7.58,7.52,7.05,7.62,5.65,6.49,5.67,3,0.3,6.92385016348606,1.21,0.25,0.74,-4.56,1.50759616946405
"Q9NVW2","RNF12_HUMAN","E3 ubiquitin-protein ligase RLIM (EC 2.3.2.27) (LIM domain-interacting RING finger protein) (RING finger LIM domain-binding protein) (R-LIM) (RING finger protein 12) (RING-type E3 ubiquitin transferase RLIM) (Renal carcinoma antigen NY-REN-43)","RLIM",7.58,7.97,7.99,8.29,8.36,8.29,7.81,8.27,7.07,7.55,7.01,1,0.22,7.83441658339127,1.2,0.25,0.74,-4.56,0.971262824304629
"Q9BQ67","GRWD1_HUMAN","Glutamate-rich WD repeat-containing protein 1","GRWD1",6.31,6.81,7.13,7.31,7.1,7.07,7.17,7.12,5.73,5.91,5.63,2,0.23,6.6607196131499,1.2,0.25,0.74,-4.56,1.35490645640712
"Q8NI27","THOC2_HUMAN","THO complex subunit 2 (Tho2) (hTREX120)","THOC2",7.39,7.37,7.53,7.13,7.11,7.21,7.25,7.21,5.9,5.71,5.42,1,-0.16,6.83945183524448,-1.2,0.25,0.74,-4.56,1.68078797067889
"Q86VP6","CAND1_HUMAN","Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)","CAND1",9.33,9.19,9.35,9.28,9.03,9.14,9.31,9.19,7.85,7.67,7.89,7,-0.12,8.83996946883334,-1.2,0.26,0.74,-4.56,1.48401789474432
"P78527","PRKDC_HUMAN","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)","PRKDC",12.49,12.4,12.75,12.4,12.22,12.39,12.55,12.34,10.93,10.94,10.88,56,-0.13,12.0263251208382,-1.2,0.26,0.74,-4.56,1.58908611103894
"Q12955","ANK3_HUMAN","Ankyrin-3 (ANK-3) (Ankyrin-G)","ANK3",6.5,7.34,7.59,7.78,7.62,7.59,7.54,7.67,5.67,6.47,5.98,3,0.3,7.06872131960665,1.2,0.26,0.74,-4.56,1.56471197951932
"P84085","ARF5_HUMAN","ADP-ribosylation factor 5","ARF5",8.89,9.37,9.35,9.32,9.4,9.43,9.26,9.42,7.56,7.54,7.51,4,0.14,8.82236748267422,1.19,0.26,0.74,-4.56,1.83611952119653
"P82979","SARNP_HUMAN","SAP domain-containing ribonucleoprotein (Cytokine-induced protein of 29 kDa) (Nuclear protein Hcc-1) (Proliferation-associated cytokine-inducible protein CIP29)","SARNP",8.18,7.77,7.56,7.71,7.7,7.61,7.67,7.61,6.51,6.63,6.64,2,-0.16,7.4164631760282,-1.19,0.26,0.74,-4.56,1.21005937915801
"Q12824","SNF5_HUMAN","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 (BRG1-associated factor 47) (BAF47) (Integrase interactor 1 protein) (SNF5 homolog) (hSNF5)","SMARCB1",8.55,9.19,9.54,9.58,9.4,9.62,9.19,9.69,6.91,7.22,6.89,6,0.26,8.70673984854758,1.19,0.26,0.74,-4.56,2.46580206123555
"P61960","UFM1_HUMAN","Ubiquitin-fold modifier 1","UFM1",2.2,2.33,2.69,2.94,2.99,3.18,2.64,2.49,1.52,1.87,1.38,1,0.28,2.38471433373522,1.19,0.26,0.74,-4.56,1.23293586580615
"O14686","KMT2D_HUMAN","Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.43) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)","KMT2D",7.46,9.08,9.33,9.69,9.37,9.54,8.93,9.61,6.57,7.05,7.16,9,0.47,8.52589935851921,1.19,0.26,0.74,-4.56,2.4368283002261
"P36578","RL4_HUMAN","60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)","RPL4",12.38,12.36,12.14,11.91,12.05,11.84,12.32,11.88,10.98,10.55,10.73,28,-0.18,11.7396305272162,-1.19,0.26,0.74,-4.57,1.44849093883201
"P67936","TPM4_HUMAN","Tropomyosin alpha-4 chain (TM30p1) (Tropomyosin-4)","TPM4",10.71,9.59,9.24,9.21,9.52,9.27,9.31,9.39,8.26,8.3,8.2,9,-0.32,9.18234298249398,-1.19,0.26,0.74,-4.57,1.43735215534248
"Q9Y230","RUVB2_HUMAN","RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)","RUVBL2",8.99,9.5,9.71,9.59,9.59,9.54,9.73,9.65,7.96,8.23,8.25,9,0.18,9.15977852914476,1.19,0.26,0.74,-4.57,1.48046192338582
"O00571","DDX3X_HUMAN","ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (Helicase-like protein 2) (HLP2)","DDX3X",10.36,10.52,10.67,10.46,10.74,10.59,10.58,10.57,8.85,8.94,8.86,7,0.11,10.1032185459279,1.18,0.26,0.74,-4.57,1.73242998658915
"O75934","SPF27_HUMAN","Pre-mRNA-splicing factor SPF27 (Breast carcinoma-amplified sequence 2) (DNA amplified in mammary carcinoma 1 protein) (Spliceosome-associated protein SPF 27)","BCAS2",6.47,6.05,6.07,6.17,6,6.09,5.84,6.2,4.62,4.71,4.54,2,-0.16,5.70448271546842,-1.18,0.26,0.74,-4.57,1.56557972799202
"Q08945","SSRP1_HUMAN","FACT complex subunit SSRP1 (Chromatin-specific transcription elongation factor 80 kDa subunit) (Facilitates chromatin transcription complex 80 kDa subunit) (FACT 80 kDa subunit) (FACTp80) (Facilitates chromatin transcription complex subunit SSRP1) (Recombination signal sequence recognition protein 1) (Structure-specific recognition protein 1) (hSSRP1) (T160)","SSRP1",10.43,10.27,10.64,10.3,10.2,10.35,10.38,10.21,8.27,8.16,8.24,12,-0.12,9.76825914012568,-1.18,0.26,0.74,-4.57,2.18468887571666
"P02747","C1QC_HUMAN","Complement C1q subcomponent subunit C","C1QC",1.39,2.52,2.99,2.54,2.39,3.13,2.41,3.01,7.96,8.27,7.8,1,0.37,4.03688594075866,1.18,0.26,0.74,-4.57,-5.27321844817605
"Q08J23","NSUN2_HUMAN","tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)","NSUN2",7.8,7.37,7.56,7.49,7.42,7.43,7.41,7.42,6.14,6,6.08,4,-0.13,7.1019314344042,-1.18,0.26,0.74,-4.57,1.48170260203847
"Q96FZ2","HMCES_HUMAN","Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein (ES cell-specific 5hmC-binding protein) (Putative peptidase SRAPD1) (EC 3.4.-.-) (SRAP domain-containing protein 1)","HMCES",7.89,9.16,9.84,9.61,9.37,9.66,9.67,9.53,6.91,7.26,6.21,4,0.43,8.64700440650187,1.18,0.26,0.74,-4.57,2.7668906270871
"P78371","TCPB_HUMAN","T-complex protein 1 subunit beta (TCP-1-beta) (CCT-beta)","CCT2",8.15,9,8.93,8.74,8.89,8.74,9.18,8.85,7.67,7.54,7.83,8,0.21,8.50183673789719,1.18,0.26,0.74,-4.57,1.23435754420412
"Q9BWJ5","SF3B5_HUMAN","Splicing factor 3B subunit 5 (SF3b5) (Pre-mRNA-splicing factor SF3b 10 kDa subunit)","SF3B5",4.43,3.57,3.19,3.89,4.17,4.29,3.75,4.07,2.8,2.72,2.32,1,0.3,3.5645824583865,1.18,0.26,0.74,-4.57,1.45429857984347
"Q9BYD3","RM04_HUMAN","39S ribosomal protein L4, mitochondrial (L4mt) (MRP-L4) (Mitochondrial large ribosomal subunit protein uL4m)","MRPL4",5.75,6.56,6.47,6.55,6.77,6.38,6.49,6.59,5.49,5.08,5.18,1,0.22,6.11897596253108,1.18,0.26,0.74,-4.57,1.30610101571029
"Q96DG6","CMBL_HUMAN","Carboxymethylenebutenolidase homolog (EC 3.1.-.-)","CMBL",3.98,5.43,5.82,5.46,5.61,5.49,5.56,5.53,4.06,4.23,4.16,1,0.37,5.03010984284916,1.18,0.26,0.74,-4.57,1.39378770747576
"P20042","IF2B_HUMAN","Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta)","EIF2S2",7.36,7.71,7.62,7.67,7.76,7.58,7.98,7.64,6.52,6.28,6.3,4,0.15,7.31122386039749,1.18,0.26,0.74,-4.57,1.37293412839295
"Q9UIV1","CNOT7_HUMAN","CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (BTG1-binding factor 1) (CCR4-associated factor 1) (CAF-1) (Caf1a)","CNOT7",6.14,6,6.28,6.27,6.04,6.04,6.1,5.95,4.63,4.78,4.91,1,-0.14,5.73999690178136,-1.17,0.26,0.74,-4.57,1.39782344670603
"O15226","NKRF_HUMAN","NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF)","NKRF",6.27,6.62,6.1,6.59,6.76,6.52,6.4,6.6,5.18,5.41,5.13,1,0.17,6.14301064135798,1.17,0.26,0.74,-4.57,1.33096324387035
"Q9H7B2","RPF2_HUMAN","Ribosome production factor 2 homolog (Brix domain-containing protein 1) (Ribosome biogenesis protein RPF2 homolog)","RPF2",9.88,8.71,8.13,8.72,8.7,8.52,8.36,8.46,7.18,7.25,6.63,5,-0.35,8.23129473952121,-1.17,0.26,0.74,-4.57,1.84466288608588
"P06744","G6PI_HUMAN","Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36)","GPI",2.06,2.52,2.94,2.46,2.39,2.95,2.9,2.87,2.24,1.63,1.7,1,0.28,2.4239406182554,1.17,0.26,0.74,-4.57,0.919400874298185
