"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P24666","PPAC_HUMAN","Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1)","ACP1",7.14,7.56,7.64,7.31,7.47,7.51,7.49,5.16,5.6,5.69,4,1.96,6.85695372307787,12.14,3.5e-08,1.6e-07,9.22
"Q9HAV4","XPO5_HUMAN","Exportin-5 (Exp5) (Ran-binding protein 21)","XPO5",8.11,8.65,8.25,8.08,8.22,8.44,8.22,6.68,6.71,6.7,5,1.64,7.80489360102698,12.11,3.6e-08,1.7e-07,9.19
"Q8IX18","DHX40_HUMAN","Probable ATP-dependent RNA helicase DHX40 (EC 3.6.4.13) (DEAH box protein 40) (Protein PAD)","DHX40",6.77,6.96,6.96,6.78,6.9,6.88,6.86,5.1,5.57,5.15,1,1.62,6.39171728248634,12.1,3.6e-08,1.7e-07,9.18
"P62701","RS4X_HUMAN","40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)","RPS4X",9.54,9.57,9.33,9.46,9.44,9.67,9.46,8.33,8.12,8.3,8,1.23,9.12129464941152,12.1,3.6e-08,1.7e-07,9.18
"Q92793","CBP_HUMAN","CREB-binding protein (EC 2.3.1.48)","CREBBP",6.93,7.25,7.39,7.11,7.3,6.9,7.51,5.24,5.25,5.23,3,1.95,6.61277317126068,12.09,3.7e-08,1.7e-07,9.17
"Q96KM6","Z512B_HUMAN","Zinc finger protein 512B","ZNF512B",8.73,9.42,9.31,8.98,9.2,9.29,9.16,7.3,7.36,7.19,5,1.87,8.59231950281879,12.09,3.7e-08,1.7e-07,9.17
"Q9NQP4","PFD4_HUMAN","Prefoldin subunit 4 (Protein C-1)","PFDN4",7.5,7.64,7.41,7.48,7.56,7.57,7.64,6.12,6.24,6.36,3,1.28,7.15256719770698,12.08,3.7e-08,1.7e-07,9.16
"O75190","DNJB6_HUMAN","DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1)","DNAJB6",6.37,6.73,6.32,6.32,6.74,6.55,6.37,4.67,4.7,4.77,1,1.76,5.95387402587739,12.08,3.7e-08,1.7e-07,9.15
"P07437","TBB5_HUMAN","Tubulin beta chain (Tubulin beta-5 chain)","TUBB",9.44,9.69,9.39,9.08,9.34,9.46,9.33,8.2,8.13,8.15,4,1.34,9.02125307316251,12.07,3.8e-08,1.7e-07,9.14
"Q14204","DYHC1_HUMAN","Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)","DYNC1H1",10.8,10.85,10.67,10.74,10.62,10.87,10.67,9.75,9.67,9.67,38,1.08,10.4303639607732,12.06,3.8e-08,1.7e-07,9.14
"A6NHR9","SMHD1_HUMAN","Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1)","SMCHD1",7.49,7.62,7.61,7.35,7.63,7.35,7.61,6.17,6.1,5.79,2,1.55,7.07121600378829,12.05,3.8e-08,1.7e-07,9.13
"P62857","RS28_HUMAN","40S ribosomal protein S28 (Small ribosomal subunit protein eS28)","RPS28",8.66,8.55,8.71,8.92,8.68,8.57,8.74,7.21,7.42,7.4,3,1.3,8.28531873089265,12.05,3.8e-08,1.7e-07,9.13
"P53999","TCP4_HUMAN","Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)","SUB1",8.87,8.67,8.86,8.78,8.86,8.88,8.97,7.65,7.38,7.65,7,1.24,8.4570016200527,12.04,3.9e-08,1.7e-07,9.12
"Q13263","TIF1B_HUMAN","Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)","TRIM28",12.11,12.89,12.39,12.1,12.4,12.64,12.34,10.3,10.47,10.34,29,2.1,11.7975026723454,12.03,3.9e-08,1.7e-07,9.11
"Q92841","DDX17_HUMAN","Probable ATP-dependent RNA helicase DDX17 (EC 3.6.4.13) (DEAD box protein 17) (DEAD box protein p72) (DEAD box protein p82) (RNA-dependent helicase p72)","DDX17",10.84,10.53,10.82,11.03,10.68,10.62,10.85,9.38,9.21,9.27,21,1.44,10.3233377506665,12.02,3.9e-08,1.7e-07,9.1
"P53680","AP2S1_HUMAN","AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)","AP2S1",7.29,7.29,7.17,7.39,7.19,7.24,7.02,5.8,5.87,5.95,2,1.38,6.82116006498871,12,4e-08,1.8e-07,9.08
"Q15046","SYK_HUMAN","Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)","KARS",9.56,9.75,9.51,9.47,9.42,9.8,9.45,8.2,7.82,8.14,8,1.55,9.11062604162577,12,4e-08,1.8e-07,9.07
"Q9BQ61","TRIR_HUMAN","Telomerase RNA component interacting RNase (EC 3.1.13.-) (Exoribonuclease TRIR)","TRIR",6.33,6.36,6.56,6.28,6.5,6.44,6.43,5.11,4.99,5.01,2,1.38,6.00008319223471,11.98,4.1e-08,1.8e-07,9.06
"P31946","1433B_HUMAN","14-3-3 protein beta/alpha (Protein 1054) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]","YWHAB",7.29,7.46,7.44,7.4,7.4,7.52,7.51,6.28,6.13,6.19,5,1.2,7.06298069009258,11.95,4.2e-08,1.8e-07,9.03
"Q9NPA8","ENY2_HUMAN","Transcription and mRNA export factor ENY2 (Enhancer of yellow 2 transcription factor homolog)","ENY2",6.53,6.95,6.52,6.06,6.52,6.55,6.24,4.73,4.84,4.65,1,1.93,5.9586388288627,11.95,4.2e-08,1.8e-07,9.03
"P84090","ERH_HUMAN","Enhancer of rudimentary homolog","ERH",8.58,8.44,8.26,8.22,8.29,8.34,8.31,7.21,6.97,7.23,5,1.29,7.9853039451582,11.95,4.2e-08,1.8e-07,9.03
"P14923","PLAK_HUMAN","Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3)","JUP",10.13,10.18,10.2,10.24,10.39,10.08,10.22,8.95,9.16,9.02,11,1.13,9.85819735163997,11.93,4.3e-08,1.9e-07,9.01
"Q14686","NCOA6_HUMAN","Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)","NCOA6",7.11,7.02,7.4,7.54,7.38,6.57,7.44,4.63,4.68,4.45,1,2.59,6.42278411001498,11.92,4.3e-08,1.9e-07,9
"P78527","PRKDC_HUMAN","DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)","PRKDC",12.11,12.46,12.11,11.93,12.1,12.26,12.05,10.93,10.94,10.88,56,1.31,11.7777522670235,11.91,4.4e-08,1.9e-07,8.99
"O75694","NU155_HUMAN","Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155)","NUP155",7.72,7.64,7.53,7.41,7.5,7.32,7.26,6.46,6.37,6.27,4,1.26,7.14826078654733,11.9,4.4e-08,1.9e-07,8.98
"Q96KQ7","EHMT2_HUMAN","Histone-lysine N-methyltransferase EHMT2 (EC 2.1.1.-) (EC 2.1.1.43) (Euchromatic histone-lysine N-methyltransferase 2) (HLA-B-associated transcript 8) (Histone H3-K9 methyltransferase 3) (H3-K9-HMTase 3) (Lysine N-methyltransferase 1C) (Protein G9a)","EHMT2",6.03,6.37,5.92,5.64,6.25,6.23,6.19,3.88,3.64,4.06,1,2.25,5.41943701991401,11.9,4.4e-08,1.9e-07,8.98
"Q09666","AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)","AHNAK",13.32,13.33,13.08,13.12,12.97,13.2,13.12,12.09,12.12,12.22,165,1.1,12.858226537913,11.86,4.6e-08,2e-07,8.94
"P33993","MCM7_HUMAN","DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)","MCM7",9.52,10.1,9.88,9.49,9.8,9.87,9.84,8.06,8.23,8.16,11,1.68,9.29748034767511,11.85,4.6e-08,2e-07,8.93
"O75937","DNJC8_HUMAN","DnaJ homolog subfamily C member 8 (Splicing protein spf31)","DNAJC8",8.05,8.08,8.35,8.23,8.36,8.09,8.3,6.7,6.9,6.58,3,1.43,7.76355501792543,11.85,4.6e-08,2e-07,8.93
"Q9BW27","NUP85_HUMAN","Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)","NUP85",6.19,5.98,6.15,5.97,6.19,6.06,5.95,4.73,4.77,4.65,1,1.39,5.66506087603995,11.84,4.7e-08,2e-07,8.92
"P06748","NPM_HUMAN","Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)","NPM1",11.54,11.39,11.62,11.38,11.39,11.37,11.4,10.38,10.46,10.07,22,1.21,11.1010189149511,11.84,4.7e-08,2e-07,8.92
"Q86VP6","CAND1_HUMAN","Cullin-associated NEDD8-dissociated protein 1 (Cullin-associated and neddylation-dissociated protein 1) (TBP-interacting protein of 120 kDa A) (TBP-interacting protein 120A) (p120 CAND1)","CAND1",8.9,9.06,8.99,8.74,8.85,9.02,8.9,7.85,7.67,7.89,7,1.18,8.58819629459274,11.83,4.7e-08,2e-07,8.91
"Q66PJ3","AR6P4_HUMAN","ADP-ribosylation factor-like protein 6-interacting protein 4 (ARL-6-interacting protein 4) (Aip-4) (HSP-975) (HSVI-binding protein) (SR-15) (SRp25) (SR-25) (Splicing factor SRrp37)","ARL6IP4",7.3,7.7,7.64,7.23,7.56,7.59,7.44,5.92,6.01,6.02,2,1.56,7.04028938468712,11.82,4.8e-08,2e-07,8.9
"P23284","PPIB_HUMAN","Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP)","PPIB",7.82,7.98,7.89,7.78,7.76,7.45,7.78,6.32,6.59,6.19,2,1.53,7.3557336002851,11.81,4.8e-08,2e-07,8.89
"Q5T0W9","FA83B_HUMAN","Protein FAM83B","FAM83B",7.26,7.74,7.51,7.19,7.45,7.41,7.38,5.89,5.89,6.05,4,1.56,6.97696629275706,11.8,4.8e-08,2e-07,8.88
"P21291","CSRP1_HUMAN","Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)","CSRP1",7.59,8.25,7.91,8.11,7.82,8.01,7.75,6.16,6.07,5.98,3,1.85,7.36501914720997,11.78,4.9e-08,2.1e-07,8.86
"Q00610","CLH1_HUMAN","Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)","CLTC",11.8,11.71,11.7,11.82,11.61,11.71,11.64,10.74,10.82,10.81,44,0.94,11.4364065091081,11.78,5e-08,2.1e-07,8.86
"P04075","ALDOA_HUMAN","Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)","ALDOA",10.72,10.97,10.78,10.65,10.68,10.99,10.77,9.59,9.39,9.61,16,1.29,10.416073673036,11.77,5e-08,2.1e-07,8.85
"P29590","PML_HUMAN","Protein PML (Promyelocytic leukemia protein) (RING finger protein 71) (Tripartite motif-containing protein 19)","PML",5.49,5.72,5.54,5.49,5.54,5.46,5.42,3.77,3.99,3.36,1,1.88,4.97803700616173,11.77,5e-08,2.1e-07,8.85
"Q8NEZ4","KMT2C_HUMAN","Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.43) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)","KMT2C",9.56,9.84,10.2,9.97,10.02,9.53,10.09,7.05,7.8,7.04,12,2.57,9.10988539907428,11.76,5.1e-08,2.1e-07,8.84
"Q6KB66","K2C80_HUMAN","Keratin, type II cytoskeletal 80 (Cytokeratin-80) (CK-80) (Keratin-80) (K80) (Type-II keratin Kb20)","KRT80",10.9,11.05,10.84,11.3,11.14,10.71,11.05,9.28,9.51,9.33,20,1.56,10.5115614784436,11.76,5.1e-08,2.1e-07,8.84
"O75817","POP7_HUMAN","Ribonuclease P protein subunit p20 (RNaseP protein p20) (EC 3.1.26.5) (Ribonucleases P/MRP protein subunit POP7 homolog) (hPOP7)","POP7",5.81,5.89,6.02,5.99,5.96,5.66,5.88,4.45,4.22,4.41,1,1.54,5.42810844089569,11.75,5.1e-08,2.1e-07,8.83
"P17844","DDX5_HUMAN","Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68)","DDX5",10.96,10.64,10.86,11.24,10.83,10.89,10.95,9.53,9.34,9.45,22,1.38,10.4696547556647,11.7,5.3e-08,2.2e-07,8.78
"Q13356","PPIL2_HUMAN","Peptidyl-prolyl cis-trans isomerase-like 2 (PPIase) (EC 2.3.2.27) (EC 5.2.1.8) (CYC4) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60) (Cyp60) (hCyP-60) (RING-type E3 ubiquitin transferase isomerase-like 2) (Rotamase PPIL2)","PPIL2",7.11,7.35,7.6,7.47,7.48,7.24,7.55,5.83,5.82,5.72,3,1.57,6.91575556352397,11.67,5.5e-08,2.2e-07,8.75
"Q99471","PFD5_HUMAN","Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)","PFDN5",5.82,5.9,5.85,5.74,5.69,5.88,6,4.27,4.51,4.27,2,1.5,5.39236998800272,11.67,5.5e-08,2.3e-07,8.75
"P37108","SRP14_HUMAN","Signal recognition particle 14 kDa protein (SRP14) (18 kDa Alu RNA-binding protein)","SRP14",8.99,8.88,9.13,9.05,9.07,9.03,9.03,8.03,7.82,7.91,5,1.08,8.69365558459394,11.63,5.7e-08,2.3e-07,8.71
"P08238","HS90B_HUMAN","Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)","HSP90AB1",9.46,9.83,9.45,9.46,9.43,9.72,9.41,8.27,8.04,8.11,11,1.44,9.11731086868858,11.62,5.8e-08,2.4e-07,8.69
"P30153","2AAA_HUMAN","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)","PPP2R1A",8.26,8.04,8.01,8.3,8.09,8.09,8.15,6.82,6.71,6.98,3,1.27,7.74531824639773,11.6,5.9e-08,2.4e-07,8.68
"P61158","ARP3_HUMAN","Actin-related protein 3 (Actin-like protein 3)","ACTR3",9.06,9.27,9.1,9.07,9.11,9.25,9.13,7.98,8.16,8.06,9,1.08,8.8197953378243,11.6,5.9e-08,2.4e-07,8.67
"Q7KZF4","SND1_HUMAN","Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)","SND1",10.76,10.74,10.53,10.65,10.64,10.92,10.58,9.53,9.29,9.45,22,1.25,10.3099266812596,11.58,6e-08,2.4e-07,8.66
"Q16401","PSMD5_HUMAN","26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B)","PSMD5",9.3,9.87,9.71,9.32,9.59,9.66,9.59,7.97,8.1,8.03,7,1.59,9.11205249488159,11.56,6.1e-08,2.5e-07,8.64
"P62263","RS14_HUMAN","40S ribosomal protein S14 (Small ribosomal subunit protein uS11)","RPS14",9.67,9.62,9.72,9.89,9.72,9.75,9.78,8.67,8.75,8.53,7,1.02,9.41069159329741,11.56,6.1e-08,2.5e-07,8.64
"Q9Y383","LC7L2_HUMAN","Putative RNA-binding protein Luc7-like 2","LUC7L2",9.34,9.63,9.43,9.38,9.48,9.62,9.31,8.29,8.28,8.23,9,1.2,9.09860172181412,11.55,6.2e-08,2.5e-07,8.63
"P63208","SKP1_HUMAN","S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)","SKP1",7.43,7.62,7.57,7.63,7.6,7.36,7.62,5.99,6.26,6.27,2,1.37,7.13567683300552,11.55,6.2e-08,2.5e-07,8.63
"Q9UK61","TASOR_HUMAN","Protein TASOR (CTCL tumor antigen se89-1) (Retinoblastoma-associated protein RAP140) (Transgene activation suppressor protein)","FAM208A",6.01,5.89,5.67,5.51,5.89,6.15,5.87,4.01,3.51,3.72,1,2.11,5.22235807410451,11.55,6.2e-08,2.5e-07,8.62
"Q9Y6Q9","NCOA3_HUMAN","Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1)","NCOA3",7.93,7.75,8.13,7.84,7.98,7.23,7.94,5.91,5.88,5.86,5,2.05,7.2468851841129,11.51,6.4e-08,2.5e-07,8.59
"Q86VM9","ZCH18_HUMAN","Zinc finger CCCH domain-containing protein 18 (Nuclear protein NHN1)","ZC3H18",7.8,7.85,7.92,7.8,7.91,7.82,7.87,6.57,6.83,6.48,5,1.23,7.48626953484487,11.51,6.5e-08,2.6e-07,8.58
"Q9BRJ6","CG050_HUMAN","Uncharacterized protein C7orf50","C7orf50",6.62,6.48,6.73,6.73,6.69,6.77,6.77,5.41,5.39,5.4,3,1.21,6.29814962783765,11.47,6.7e-08,2.6e-07,8.55
"Q9UHF7","TRPS1_HUMAN","Zinc finger transcription factor Trps1 (Tricho-rhino-phalangeal syndrome type I protein) (Zinc finger protein GC79)","TRPS1",10.76,11.25,11.34,11.09,11.29,10.98,11.22,8.74,9.44,8.9,21,2.09,10.5001798037818,11.47,6.7e-08,2.6e-07,8.55
"Q9NSB4","KRT82_HUMAN","Keratin, type II cuticular Hb2 (Keratin-82) (K82) (Type II hair keratin Hb2) (Type-II keratin Kb22)","KRT82",7.14,7.58,7.15,7.3,7.35,6.82,6.9,5.13,5.45,5.01,1,2.1,6.58281315737159,11.47,6.7e-08,2.6e-07,8.55
"Q9H3C7","GGNB2_HUMAN","Gametogenetin-binding protein 2 (Laryngeal carcinoma-related protein 1) (Protein ZNF403)","GGNBP2",6.55,7.14,6.51,6.86,6.83,6.42,6.33,4.67,4.45,4.44,1,2.21,6.02011453897151,11.45,6.8e-08,2.7e-07,8.53
"Q92616","GCN1_HUMAN","eIF-2-alpha kinase activator GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)","GCN1",10.32,10.43,10.17,10.14,10.15,10.35,10.12,9.24,9.14,9.26,23,1.09,9.9307506235494,11.44,6.9e-08,2.7e-07,8.51
"Q92598","HS105_HUMAN","Heat shock protein 105 kDa (Antigen NY-CO-25) (Heat shock 110 kDa protein)","HSPH1",6.6,6.86,6.62,6.78,6.54,6.58,6.64,5.37,5.28,5.4,2,1.34,6.26721792442408,11.42,7e-08,2.7e-07,8.5
"Q9H6F5","CCD86_HUMAN","Coiled-coil domain-containing protein 86 (Cytokine-induced protein with coiled-coil domain)","CCDC86",7.23,7.2,7.22,7.3,7.11,7.09,7.19,6.05,5.66,5.87,2,1.36,6.79125229591101,11.42,7e-08,2.7e-07,8.49
"Q9BZL1","UBL5_HUMAN","Ubiquitin-like protein 5","UBL5",6.3,6.39,6.16,6.27,6.26,6.31,6,4.95,4.79,4.86,1,1.42,5.82932802815443,11.42,7e-08,2.7e-07,8.49
"P83731","RL24_HUMAN","60S ribosomal protein L24 (60S ribosomal protein L30) (Large ribosomal subunit protein eL24)","RPL24",10.11,9.97,10.04,10.13,9.87,10.19,9.97,8.97,8.68,8.84,7,1.21,9.67683216146428,11.42,7.1e-08,2.7e-07,8.49
"Q92882","OSTF1_HUMAN","Osteoclast-stimulating factor 1","OSTF1",7.31,7.9,7.63,7.43,7.47,7.64,7.55,6.12,6.02,5.94,1,1.59,7.10049296770051,11.41,7.1e-08,2.7e-07,8.49
"Q8TCJ2","STT3B_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B (Oligosaccharyl transferase subunit STT3B) (STT3-B) (EC 2.4.99.18) (Source of immunodominant MHC-associated peptides homolog)","STT3B",5.98,6.09,5.86,5.77,5.88,6.1,5.79,4.6,4.36,4.43,1,1.51,5.48548765557418,11.41,7.1e-08,2.7e-07,8.49
"Q13435","SF3B2_HUMAN","Splicing factor 3B subunit 2 (Pre-mRNA-splicing factor SF3b 145 kDa subunit) (SF3b145) (Spliceosome-associated protein 145) (SAP 145)","SF3B2",9.79,9.71,9.59,9.51,9.58,9.73,9.53,8.67,8.61,8.73,17,1.03,9.34495020782136,11.41,7.1e-08,2.7e-07,8.49
"P52298","NCBP2_HUMAN","Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (Cell proliferation-inducing gene 55 protein) (NCBP 20 kDa subunit) (CBP20) (NCBP-interacting protein 1) (NIP1)","NCBP2",6.98,7.04,7.18,7.17,7.17,7.2,7.27,5.99,5.81,5.89,2,1.17,6.77062907965475,11.4,7.2e-08,2.7e-07,8.48
"P47897","SYQ_HUMAN","Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)","QARS",7.48,7.4,7.48,7.43,7.4,7.45,7.46,6.42,6.45,6.45,3,1.01,7.14347259578871,11.4,7.2e-08,2.7e-07,8.47
"Q5T1M5","FKB15_HUMAN","FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)","FKBP15",9.89,10.08,10.05,10.53,10.1,9.77,10.22,7.97,8.35,7.91,15,1.93,9.48750003443643,11.4,7.2e-08,2.7e-07,8.47
"P54578","UBP14_HUMAN","Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)","USP14",6.75,6.97,6.87,6.75,6.87,7.05,6.96,5.58,5.36,5.55,2,1.37,6.47172014522112,11.39,7.2e-08,2.7e-07,8.47
"P45973","CBX5_HUMAN","Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha)","CBX5",9.1,9.5,9.4,9.07,9.35,9.41,9.45,7.82,8.01,7.87,5,1.43,8.89779763577182,11.39,7.2e-08,2.7e-07,8.47
"P25440","BRD2_HUMAN","Bromodomain-containing protein 2 (O27.1.1) (Really interesting new gene 3 protein)","BRD2",5.94,6.3,6.08,5.91,6.12,5.92,6.08,4.36,4.71,4.41,1,1.61,5.58277236187127,11.38,7.3e-08,2.8e-07,8.46
"Q9H3U1","UN45A_HUMAN","Protein unc-45 homolog A (Unc-45A) (GCUNC-45) (Smooth muscle cell-associated protein 1) (SMAP-1)","UNC45A",9.18,9.12,9.01,9,9.03,9.14,9.08,8,8.14,8.15,14,1.01,8.78480792274832,11.38,7.3e-08,2.8e-07,8.45
"P62304","RUXE_HUMAN","Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)","SNRPE",7.4,7.2,7.33,7.31,7.16,7.11,7.3,6.08,5.85,6.1,2,1.3,6.88516859936192,11.37,7.4e-08,2.8e-07,8.45
"P09661","RU2A_HUMAN","U2 small nuclear ribonucleoprotein A' (U2 snRNP A')","SNRPA1",7.73,7.76,7.91,7.76,7.89,7.71,7.74,6.67,6.78,6.64,5,1.11,7.46031188661394,11.34,7.6e-08,2.8e-07,8.42
"P49023","PAXI_HUMAN","Paxillin","PXN",9.03,9.28,8.95,9.13,9.03,9.21,9.02,7.83,8,7.87,6,1.19,8.73552504066348,11.34,7.6e-08,2.8e-07,8.42
"Q8N684","CPSF7_HUMAN","Cleavage and polyadenylation specificity factor subunit 7 (Cleavage and polyadenylation specificity factor 59 kDa subunit) (CFIm59) (CPSF 59 kDa subunit) (Pre-mRNA cleavage factor Im 59 kDa subunit)","CPSF7",7.57,7.19,7.37,7.63,7.55,7.38,7.5,6.03,5.81,6.05,5,1.42,7.00661513842311,11.34,7.6e-08,2.8e-07,8.41
"Q7Z589","EMSY_HUMAN","BRCA2-interacting transcriptional repressor EMSY","EMSY",5.4,6.09,5.84,5.52,5.77,5.82,5.8,2.45,3.51,3.04,1,2.78,4.92306525624496,11.33,7.7e-08,2.9e-07,8.41
"Q08J23","NSUN2_HUMAN","tRNA (cytosine(34)-C(5))-methyltransferase (EC 2.1.1.203) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (Substrate of AIM1/Aurora kinase B) (tRNA (cytosine-5-)-methyltransferase) (tRNA methyltransferase 4 homolog) (hTrm4)","NSUN2",7.08,7.27,7.2,7.14,7.14,7.12,7.14,6.14,6,6.08,4,1.11,6.83060468491222,11.32,7.8e-08,2.9e-07,8.39
"Q9Y230","RUVB2_HUMAN","RuvB-like 2 (EC 3.6.4.12) (48 kDa TATA box-binding protein-interacting protein) (48 kDa TBP-interacting protein) (51 kDa erythrocyte cytosolic protein) (ECP-51) (INO80 complex subunit J) (Repressing pontin 52) (Reptin 52) (TIP49b) (TIP60-associated protein 54-beta) (TAP54-beta)","RUVBL2",9.21,9.42,9.31,9.3,9.25,9.44,9.36,7.96,8.23,8.25,9,1.17,8.97387690620521,11.32,7.8e-08,2.9e-07,8.39
"Q13330","MTA1_HUMAN","Metastasis-associated protein MTA1","MTA1",5.12,5.41,5.47,5.22,5.44,5.17,5.36,3.7,3.71,3.8,1,1.6,4.84009182072343,11.32,7.8e-08,2.9e-07,8.39
"P62241","RS8_HUMAN","40S ribosomal protein S8 (Small ribosomal subunit protein eS8)","RPS8",10.15,10.06,10.25,10.46,10.03,10.07,10.14,8.96,8.81,8.88,9,1.27,9.78106171250691,11.31,7.8e-08,2.9e-07,8.38
"Q9UBL3","ASH2L_HUMAN","Set1/Ash2 histone methyltransferase complex subunit ASH2 (ASH2-like protein)","ASH2L",6.35,6.55,6.17,6.31,6.38,6.35,6.22,4.86,5.07,4.89,2,1.42,5.91523481574401,11.29,8e-08,2.9e-07,8.36
