"Protein","Gene","Description","GeneSymbol","Ctrl.Rep2","Ctrl.Rep3","Ctrl.Rep4","ER.Rep1","ER.Rep2","ER.Rep3","ER.Rep4","IGG.Ctrl","IGG.ER","IGG.Mixed","Unique_Peptides","logFC","AveExpr","t","P.Value","adj.P.Val","B","controlLogFoldChange"
"Q8IZ83","A16A1_HUMAN","Aldehyde dehydrogenase family 16 member A1","ALDH16A1",7.72,7.72,7.89,7.58,7.67,7.63,7.76,6.64,7.13,6.65,4,-0.12,7.43914263681712,-0.95,0.36,1,-4.87,0.968284673735175
"P25705","ATPA_HUMAN","ATP synthase subunit alpha, mitochondrial","ATP5A1",7.75,7.76,7.67,7.51,7.57,7.75,7.73,6.87,6.84,6.82,4,-0.09,7.4257914382609,-0.94,0.36,1,-4.87,0.882867210554595
"P25685","DNJB1_HUMAN","DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1)","DNAJB1",8.97,9.33,9.26,8.93,9.12,9.16,9.16,7.17,7.15,7.19,5,-0.1,8.54417922069852,-0.94,0.36,1,-4.87,2.0172581139352
"Q8TE77","SSH3_HUMAN","Protein phosphatase Slingshot homolog 3 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 3) (SSH-3L) (hSSH-3L)","SSH3",4.88,4.91,5.02,4.32,4.87,5.08,4.76,3.44,3.95,4.01,1,-0.18,4.52407762932636,-0.94,0.37,1,-4.87,1.13871765295515
"Q9Y6I4","UBP3_HUMAN","Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)","USP3",5.69,5.97,5.81,5.78,5.57,5.85,5.65,4.05,4.08,4.14,1,-0.11,5.25997749816847,-0.94,0.37,1,-4.87,1.73415527566224
"Q969Z3","MARC2_HUMAN","Mitochondrial amidoxime reducing component 2 (mARC2) (EC 1.-.-.-) (Molybdenum cofactor sulfurase C-terminal domain-containing protein 2) (MOSC domain-containing protein 2) (Moco sulfurase C-terminal domain-containing protein 2)","MARC2",5.56,4.56,5.28,5.22,5.5,5.36,5.24,4.28,3.93,4.27,1,0.19,4.91975592082943,0.94,0.37,1,-4.87,1.16393881049201
"P09429","HMGB1_HUMAN","High mobility group protein B1 (High mobility group protein 1) (HMG-1)","HMGB1",9.28,9.97,9.25,9.07,9.27,9.73,9.24,7.59,7.31,7.5,5,-0.17,8.82163369975451,-0.94,0.37,1,-4.88,2.03220980418976
"Q5T1M5","FKB15_HUMAN","FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP- and FKBP-like protein) (WAFL)","FKBP15",9.89,10.08,10.05,10.53,10.1,9.77,10.22,7.97,8.35,7.91,15,0.15,9.48750003443643,0.94,0.37,1,-4.88,2.07808865334979
"Q16576","RBBP7_HUMAN","Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)","RBBP7",8.63,9.09,9.08,9.33,9.19,8.65,9.21,7.9,7.68,7.47,3,0.16,8.62281199450904,0.93,0.37,1,-4.88,1.4086656405895
"O60508","PRP17_HUMAN","Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17)","CDC40",5.75,5.95,5.76,5.86,6.17,5.8,6.04,5.22,5.8,5.2,1,0.15,5.75521514914486,0.93,0.37,1,-4.88,0.561317066107922
"Q6Y7W6","GGYF2_HUMAN","GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)","GIGYF2",6.84,6.38,6.69,6.69,6.76,6.72,6.81,6.04,6.05,6.14,4,0.11,6.51123083566787,0.93,0.37,1,-4.88,0.665549962111387
"Q8WWY3","PRP31_HUMAN","U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)","PRPF31",8.51,8.61,8.48,8.35,8.51,8.52,8.45,7.32,7.23,7.41,6,-0.08,8.13889821041224,-0.93,0.37,1,-4.88,1.21756898663565
"Q8N2N9","AN36B_HUMAN","Ankyrin repeat domain-containing protein 36B (CLL-associated antigen KW-1)","ANKRD36B",6.04,6.12,6.34,6.44,6.46,6.05,6.31,4.74,5.25,4.64,1,0.15,5.83982484271867,0.93,0.37,1,-4.88,1.4401105532205
"Q14690","RRP5_HUMAN","Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)","PDCD11",8.47,8.3,8.43,8.44,8.35,8.19,8.29,7.31,7.22,7.4,8,-0.09,8.04169474013875,-0.92,0.37,1,-4.88,1.09079005714478
"P17612","KAPCA_HUMAN","cAMP-dependent protein kinase catalytic subunit alpha (PKA C-alpha) (EC 2.7.11.11)","PRKACA",5.8,5.94,5.66,5.91,5.68,5.65,5.34,4.9,4.58,4.24,1,-0.16,5.3695015505668,-0.92,0.37,1,-4.88,1.22953109873487
"P26583","HMGB2_HUMAN","High mobility group protein B2 (High mobility group protein 2) (HMG-2)","HMGB2",9.6,10.02,9.79,9.28,9.72,9.88,9.8,8.03,7.76,7.9,11,-0.13,9.17834626260636,-0.92,0.37,1,-4.89,1.90696918906044
"O14776","TCRG1_HUMAN","Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150)","TCERG1",7.57,7.77,8.01,8.01,8.19,7.95,7.74,6.96,7.38,8.06,2,0.19,7.76436551105491,0.92,0.38,1,-4.89,0.50524480332935
"Q9NP66","HM20A_HUMAN","High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1)","HMG20A",6.73,6.64,6.94,6.81,6.67,6.34,6.72,5.66,5.69,5.25,2,-0.14,6.34541476917791,-0.92,0.38,1,-4.89,1.24083064288517
"Q9ULU4","PKCB1_HUMAN","Protein kinase C-binding protein 1 (Cutaneous T-cell lymphoma-associated antigen se14-3) (CTCL-associated antigen se14-3) (Rack7) (Zinc finger MYND domain-containing protein 8)","ZMYND8",6.6,7.05,6.95,6.54,6.85,6.78,6.82,4.7,4.82,4.82,3,-0.12,6.19412796474644,-0.92,0.38,1,-4.89,2.08727533813183
"P19338","NUCL_HUMAN","Nucleolin (Protein C23)","NCL",12.22,12.07,12.2,12.1,12.06,12.11,12.08,11.13,11.19,10.88,48,-0.08,11.8049635831626,-0.92,0.38,1,-4.89,1.09790718455511
"Q9NY12","GAR1_HUMAN","H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)","GAR1",7.21,6.48,7.49,7.21,7.28,7.24,7.35,6.48,6.41,5.7,4,0.21,6.8861327468755,0.91,0.38,1,-4.89,1.07525556994886
"Q5JTV8","TOIP1_HUMAN","Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)","TOR1AIP1",7.22,7.01,6.96,7.08,7.18,7.22,7.16,6.56,6.72,6.39,2,0.1,6.95208421258259,0.91,0.38,1,-4.89,0.603298066052434
"Q9UG63","ABCF2_HUMAN","ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)","ABCF2",5.79,6.03,5.71,5.94,5.94,6.2,5.79,4.69,4.35,4.41,1,0.13,5.48532338926097,0.91,0.38,1,-4.89,1.48898071820997
"Q15637","SF01_HUMAN","Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)","SF1",7.13,6.74,6.96,7.24,7.02,6.96,7.04,5.77,6.2,6.02,4,0.12,6.70782882630169,0.91,0.38,1,-4.89,1.06865727945957
"Q01082","SPTB2_HUMAN","Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Fodrin beta chain) (Spectrin, non-erythroid beta chain 1)","SPTBN1",9.33,9.17,9.39,9.53,9.39,9.17,9.54,8.67,9.1,8.82,12,0.11,9.21017226784491,0.91,0.38,1,-4.89,0.543538654878226
"Q9UMS4","PRP19_HUMAN","Pre-mRNA-processing factor 19 (EC 2.3.2.27) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (RING-type E3 ubiquitin transferase PRP19) (Senescence evasion factor)","PRPF19",8.48,8.52,8.53,8.38,8.51,8.45,8.41,6.79,6.87,6.75,8,-0.07,7.96944692453871,-0.91,0.38,1,-4.89,1.71023912160575
"Q9NZ01","TECR_HUMAN","Very-long-chain enoyl-CoA reductase (EC 1.3.1.93) (Synaptic glycoprotein SC2) (Trans-2,3-enoyl-CoA reductase) (TER)","TECR",3.52,3.81,4.17,3.88,4.09,3.98,4.16,2.97,2.9,2.3,1,0.19,3.57760848576308,0.91,0.38,1,-4.89,1.3025014776835
"Q86U38","NOP9_HUMAN","Nucleolar protein 9","NOP9",6.08,6.12,6.18,6.33,6.28,6.03,6.35,5.45,5.78,5.3,2,0.12,5.99041435176647,0.91,0.38,1,-4.89,0.736016115514965
"Q9NY93","DDX56_HUMAN","Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)","DDX56",6.3,5.45,6.07,6.36,5.98,5.94,6.14,5.23,5.31,4.96,2,0.17,5.77406609268956,0.9,0.38,1,-4.9,0.942805208981862
"O14980","XPO1_HUMAN","Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)","XPO1",8.58,8.65,8.52,8.45,8.57,8.47,8.56,7.27,7.25,7.29,7,-0.07,8.16085004344965,-0.9,0.38,1,-4.9,1.31428003105485
"Q86WB0","NIPA_HUMAN","Nuclear-interacting partner of ALK (Nuclear-interacting partner of anaplastic lymphoma kinase) (hNIPA) (Zinc finger C3HC-type protein 1)","ZC3HC1",4.58,4.47,4.17,3.88,4.36,4.38,4.37,2.82,3.03,3.12,1,-0.16,3.91683225587156,-0.9,0.39,1,-4.9,1.41786367226024
"Q12905","ILF2_HUMAN","Interleukin enhancer-binding factor 2 (Nuclear factor of activated T-cells 45 kDa)","ILF2",9.99,9.91,9.75,9.84,9.8,9.82,9.75,8.67,8.38,8.52,9,-0.08,9.44410744656225,-0.9,0.39,1,-4.9,1.36041379269923
"Q9NQG5","RPR1B_HUMAN","Regulation of nuclear pre-mRNA domain-containing protein 1B (Cell cycle-related and expression-elevated protein in tumor)","RPRD1B",6.65,6.72,6.66,6.59,6.58,6.52,6.65,5.49,5.75,5.69,2,-0.09,6.32978078631067,-0.9,0.39,1,-4.9,1.03364021228494
"Q9Y6D9","MD1L1_HUMAN","Mitotic spindle assembly checkpoint protein MAD1 (Mitotic arrest deficient 1-like protein 1) (MAD1-like protein 1) (Mitotic checkpoint MAD1 protein homolog) (HsMAD1) (hMAD1) (Tax-binding protein 181)","MAD1L1",6.85,6.86,7.29,7.15,7.25,6.87,7.25,6.72,7.08,6.67,3,0.13,6.99912032417489,0.89,0.39,1,-4.9,0.310250903486191
"Q09161","NCBP1_HUMAN","Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)","NCBP1",6.24,6.37,6.52,6.16,6.25,6.16,6.28,5.28,6.13,5.27,2,-0.16,6.0663663704565,-0.89,0.39,1,-4.9,0.818232422757468
"P62857","RS28_HUMAN","40S ribosomal protein S28 (Small ribosomal subunit protein eS28)","RPS28",8.66,8.55,8.71,8.92,8.68,8.57,8.74,7.21,7.42,7.4,3,0.09,8.28531873089265,0.89,0.39,1,-4.9,1.38798403173495
"Q6UXN9","WDR82_HUMAN","WD repeat-containing protein 82 (Protein TMEM113) (Swd2)","WDR82",6.04,5.75,6.23,6.2,6.1,6.08,6.13,5.06,5.15,4.83,1,0.12,5.75761682354065,0.89,0.39,1,-4.91,1.11119730886396
"O15213","WDR46_HUMAN","WD repeat-containing protein 46 (WD repeat-containing protein BING4)","WDR46",4.8,4.89,5.34,5.17,4.54,4.8,4.79,4.02,4.52,3.85,1,-0.18,4.67193388178781,-0.89,0.39,1,-4.91,0.877515025543728
"Q9NZR1","TMOD2_HUMAN","Tropomodulin-2 (Neuronal tropomodulin) (N-Tmod)","TMOD2",6.5,6.07,6.19,6.26,6.56,6.7,6.1,5.3,5.23,4.88,1,0.15,5.97850471379992,0.89,0.39,1,-4.91,1.26964151857172
"Q9Y606","TRUA_HUMAN","tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)","PUS1",5.05,5.62,5.51,5.02,5.38,5.47,5.09,3.07,2.9,3.17,1,-0.15,4.62737128182801,-0.89,0.39,1,-4.91,2.34714741587796
"O15226","NKRF_HUMAN","NF-kappa-B-repressing factor (NFkB-repressing factor) (Protein ITBA4) (Transcription factor NRF)","NKRF",6.33,5.81,6.31,6.47,6.24,6.11,6.31,5.18,5.41,5.13,1,0.13,5.93020251346127,0.89,0.39,1,-4.91,1.04478649146354
"P52895","AK1C2_HUMAN","Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357)","AKR1C2",6.57,6.81,6.82,6.12,6.61,6.79,6.81,4.7,4.55,4.96,1,-0.15,6.0734082088607,-0.88,0.39,1,-4.91,1.99343900204859
"P38432","COIL_HUMAN","Coilin (p80-coilin)","COIL",6.33,6.2,6.41,6.35,6.25,6.03,6.14,5.25,4.77,4.88,1,-0.12,5.86139775360191,-0.88,0.4,1,-4.91,1.34951461207485
"Q6P2Q9","PRP8_HUMAN","Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)","PRPF8",11.61,11.66,11.58,11.51,11.6,11.59,11.52,10.5,10.36,10.38,50,-0.06,11.2290047104098,-0.88,0.4,1,-4.91,1.20472669223504
"Q92766","RREB1_HUMAN","Ras-responsive element-binding protein 1 (RREB-1) (Finger protein in nuclear bodies) (Raf-responsive zinc finger protein LZ321) (Zinc finger motif enhancer-binding protein 1) (Zep-1)","RREB1",6.4,6.71,7.05,6.95,6.93,6.7,7.04,4.62,5.54,4.74,2,0.19,6.26880666773533,0.87,0.4,1,-4.91,1.93753751501295
"P46087","NOP2_HUMAN","Probable 28S rRNA (cytosine(4447)-C(5))-methyltransferase (EC 2.1.1.-) (Nucleolar protein 1) (Nucleolar protein 2 homolog) (Proliferating-cell nucleolar antigen p120) (Proliferation-associated nucleolar protein p120)","NOP2",9.24,9.1,9.37,9.24,9.14,8.98,9.21,8.33,8.54,8.18,9,-0.09,8.93226908247857,-0.87,0.4,1,-4.92,0.884886342928954
"O15020","SPTN2_HUMAN","Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)","SPTBN2",6.88,6.37,6.85,6.88,6.78,6.73,6.89,6.18,6.43,6.21,3,0.12,6.61955976580952,0.87,0.4,1,-4.92,0.545641038803796
"Q99584","S10AD_HUMAN","Protein S100-A13 (S100 calcium-binding protein A13)","S100A13",9.11,9.26,9.21,9.43,9.26,9.04,9.39,7.35,7.25,7.35,3,0.09,8.66548674024006,0.87,0.4,1,-4.92,1.96414188709039
"P01024","CO3_HUMAN","Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]","C3",7.07,7.26,7.66,7.8,7.7,6.96,7.59,6.62,6.95,6.36,2,0.18,7.19786513592512,0.86,0.4,1,-4.92,0.869491562994718
"P52565","GDIR1_HUMAN","Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)","ARHGDIA",6.54,6.78,6.68,6.74,6.61,6.93,6.9,6.03,5.61,5.48,1,0.12,6.42887251129781,0.86,0.4,1,-4.92,1.08680363155076
"P39748","FEN1_HUMAN","Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)","FEN1",8.83,9.35,9.16,8.57,8.98,9.22,9.13,7.46,7.62,7.38,8,-0.14,8.56965657283995,-0.86,0.4,1,-4.92,1.62690514258863
"P48444","COPD_HUMAN","Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)","ARCN1",9.55,9.65,9.57,9.74,9.6,9.6,9.68,8.27,8.33,8.29,10,0.06,9.22778182722266,0.86,0.41,1,-4.92,1.36000358036948
"P39023","RL3_HUMAN","60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)","RPL3",11.83,11.8,11.86,11.96,11.82,11.9,11.87,10.71,10.53,10.61,22,0.06,11.4881287681345,0.86,0.41,1,-4.92,1.27582953195712
"Q9ULJ6","ZMIZ1_HUMAN","Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)","ZMIZ1",3.83,3.91,4.02,3.53,3.88,3.61,3.96,3.01,3.25,2.48,1,-0.18,3.5477824218758,-0.86,0.41,1,-4.92,1.00796818835341
"P49792","RBP2_HUMAN","E3 SUMO-protein ligase RanBP2 (EC 6.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)","RANBP2",8.29,8.17,8.06,7.97,8.2,8.1,8.08,7.03,6.92,7.17,3,-0.08,7.79937205189979,-0.86,0.41,1,-4.92,1.13361004977335
"Q96G21","IMP4_HUMAN","U3 small nucleolar ribonucleoprotein protein IMP4 (U3 snoRNP protein IMP4) (Brix domain-containing protein 4)","IMP4",4.23,4.19,4.72,4.01,4.05,3.87,4.22,3.38,4.96,2.65,1,-0.34,4.02918960508101,-0.86,0.41,1,-4.92,0.715620913652775
"P49902","5NTC_HUMAN","Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (Cytosolic 5'-nucleotidase II)","NT5C2",8.03,8.73,8.1,7.9,8.05,8.56,7.99,6.75,6.3,6.51,3,-0.16,7.69054869349753,-0.86,0.41,1,-4.93,1.76581426878189
"P28066","PSA5_HUMAN","Proteasome subunit alpha type-5 (EC 3.4.25.1) (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)","PSMA5",6.9,6.9,7.03,6.95,6.92,7.09,7.22,5.68,5.35,5.68,2,0.1,6.5712976123535,0.86,0.41,1,-4.93,1.47583774371322
"O15260","SURF4_HUMAN","Surfeit locus protein 4","SURF4",6.74,6.78,6.88,6.81,7.07,6.81,6.92,5.43,5.82,5.45,1,0.1,6.47129117004735,0.86,0.41,1,-4.93,1.33846018448683
"Q92615","LAR4B_HUMAN","La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5)","LARP4B",6.15,5.79,6.18,6.14,6.1,6.19,6.16,5.54,5.38,5.66,2,0.1,5.9309235153053,0.86,0.41,1,-4.93,0.617585524715021
"P53621","COPA_HUMAN","Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]","COPA",10.44,10.54,10.38,10.63,10.4,10.56,10.5,9.29,9.22,9.28,18,0.07,10.1231764575429,0.85,0.41,1,-4.93,1.2555123101696
"Q9Y520","PRC2C_HUMAN","Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)","PRRC2C",3.96,4.03,3.59,3.42,3.71,3.87,3.79,2.62,3,2.67,1,-0.16,3.46649930918579,-0.85,0.41,1,-4.93,1.0935099957981
"Q13951","PEBB_HUMAN","Core-binding factor subunit beta (CBF-beta) (Polyomavirus enhancer-binding protein 2 beta subunit) (PEA2-beta) (PEBP2-beta) (SL3-3 enhancer factor 1 subunit beta) (SL3/AKV core-binding factor beta subunit)","CBFB",7.33,7.52,7.95,7.79,7.81,7.45,7.88,6.63,6.95,6.62,4,0.13,7.39359310501435,0.85,0.41,1,-4.93,0.997637244075965
"Q1ED39","KNOP1_HUMAN","Lysine-rich nucleolar protein 1 (Protein FAM191A) (Testis-specific gene 118 protein)","KNOP1",4.93,4.94,5.44,5.58,5.23,4.97,5.46,4.63,5.66,4.69,1,0.21,5.15293544926138,0.85,0.41,1,-4.93,0.318537586619802
"O95671","ASML_HUMAN","N-acetylserotonin O-methyltransferase-like protein (ASMTL) (EC 2.1.1.-)","ASMTL",4.18,4.75,4.39,3.81,4.22,4.68,4.32,3.48,3.72,3.33,1,-0.18,4.08783808100576,-0.85,0.41,1,-4.93,0.928443673465858
"Q9BRP8","PYM1_HUMAN","Partner of Y14 and mago (PYM homolog 1 exon junction complex-associated factor) (Protein wibg homolog)","PYM1",5.86,5.86,5.64,5.94,5.69,6.02,6,5.04,4.97,5.51,1,0.13,5.65399604456955,0.85,0.41,1,-4.93,0.739968101669651
"P13667","PDIA4_HUMAN","Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)","PDIA4",6.13,5.62,5.87,6.13,5.91,5.81,6.19,4.95,4.48,4.92,2,0.14,5.59824268861623,0.85,0.41,1,-4.93,1.22776237762155
"P05023","AT1A1_HUMAN","Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1)","ATP1A1",4.97,4.86,5.16,5.25,4.94,4.94,5.47,3.74,3.17,3.76,2,0.16,4.62636308500172,0.85,0.41,1,-4.93,1.59456505809827
"Q9H2D6","TARA_HUMAN","TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin)","TRIOBP",5.56,5.5,5.23,5.5,5.28,5.34,5.17,4.71,4.78,4.69,1,-0.11,5.1752129640899,-0.84,0.41,1,-4.93,0.702658505024737
"Q02543","RL18A_HUMAN","60S ribosomal protein L18a (Large ribosomal subunit protein eL20)","RPL18A",10.75,11.02,10.85,10.93,10.83,10.68,10.73,9.29,9.38,9.19,10,-0.08,10.3655216622783,-0.84,0.41,1,-4.93,1.58341040086919
"O95758","PTBP3_HUMAN","Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1)","PTBP3",6.51,6.39,6.62,6.63,6.58,6.55,6.64,5.88,6.16,5.78,3,0.1,6.37382094465827,0.84,0.42,1,-4.93,0.662747491473554
"Q99996","AKAP9_HUMAN","A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao)","AKAP9",9.29,9.67,9.37,9.89,9.46,9.33,9.53,7.05,7.21,7.03,9,0.11,8.78455919507823,0.84,0.42,1,-4.93,2.45509935366809
"Q53GS9","SNUT2_HUMAN","U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)","USP39",6.09,6.07,6.2,6.01,5.98,6.06,6.07,5.11,5.08,4.9,3,-0.09,5.75626027897287,-0.84,0.42,1,-4.94,1.08933977134418
"P62304","RUXE_HUMAN","Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)","SNRPE",7.4,7.2,7.33,7.31,7.16,7.11,7.3,6.08,5.85,6.1,2,-0.09,6.88516859936192,-0.84,0.42,1,-4.94,1.2986499081875
"P36578","RL4_HUMAN","60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)","RPL4",12.07,11.85,11.62,11.76,11.55,12.03,11.59,10.98,10.55,10.73,28,-0.12,11.4730943020006,-0.84,0.42,1,-4.94,1.09922910558551
"P50914","RL14_HUMAN","60S ribosomal protein L14 (CAG-ISL 7) (Large ribosomal subunit protein eL14)","RPL14",9.24,9.3,8.99,9.03,8.99,9.34,8.87,8.13,7.61,7.85,6,-0.12,8.73453888224559,-0.83,0.42,1,-4.94,1.31006752628018
"Q9UQE7","SMC3_HUMAN","Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)","SMC3",10.29,10.72,10.61,10.32,10.54,10.47,10.49,8.88,8.95,8.85,15,-0.09,10.0116307455298,-0.83,0.42,1,-4.94,1.64725870160644
"P10412","H14_HUMAN","Histone H1.4 (Histone H1b) (Histone H1s-4)","HIST1H1E",9.1,8.99,8.47,8.33,8.71,9.14,8.57,8.33,7.85,8.22,5,-0.16,8.57024388292982,-0.83,0.42,1,-4.94,0.720953032803521
"P62854","RS26_HUMAN","40S ribosomal protein S26 (Small ribosomal subunit protein eS26)","RPS26",6.12,5.8,6.18,6.48,5.95,6.18,6.03,5.06,4.8,4.99,1,0.12,5.75986244783997,0.83,0.42,1,-4.94,1.20795556775232
"Q9UJV9","DDX41_HUMAN","Probable ATP-dependent RNA helicase DDX41 (EC 3.6.4.13) (DEAD box protein 41) (DEAD box protein abstrakt homolog)","DDX41",4.99,5.2,5.35,5.34,5.36,5.22,5.24,4.53,4.7,4.36,1,0.11,5.02879993238962,0.83,0.42,1,-4.94,0.757385069142476
"O94888","UBXN7_HUMAN","UBX domain-containing protein 7","UBXN7",5.45,5.68,5.68,5.69,5.37,5.34,5.53,3.98,4.37,4.35,1,-0.12,5.14328662185324,-0.83,0.42,1,-4.94,1.36961616421499
"Q04637","IF4G1_HUMAN","Eukaryotic translation initiation factor 4 gamma 1 (eIF-4-gamma 1) (eIF-4G 1) (eIF-4G1) (p220)","EIF4G1",10.44,10.3,10.26,10.49,10.35,10.35,10.4,9.26,9.18,9.21,16,0.06,10.0246882999425,0.83,0.42,1,-4.94,1.18045565344628
"Q5VYK3","ECM29_HUMAN","Proteasome-associated protein ECM29 homolog (Ecm29)","ECM29",6.58,7.11,6.67,6.68,6.64,6.88,6.43,5.19,5,5.35,1,-0.13,6.25385262673081,-0.83,0.42,1,-4.94,1.60310183534525
"Q7L5D6","GET4_HUMAN","Golgi to ER traffic protein 4 homolog (Conserved edge-expressed protein) (Transmembrane domain recognition complex 35 kDa subunit) (TRC35)","GET4",6.11,6.66,6.4,6.48,6.32,6.96,6.54,4.76,3.77,4.29,1,0.18,5.82794325267933,0.82,0.43,1,-4.94,2.3011078465245
